float_id,date,latitude,longitude,depth,pressure,temperature,salinity,basin
6903291,2021-01-01T03:15:39,36.2805,24.3338,99.9,102.4,17.548,39.323,Eastern Mediterranean
6902874,2021-01-01T05:08:30,34.6341,31.2164,363.2,372.3,14.96,38.608,Eastern Mediterranean
6902874,2021-01-01T05:08:30,34.6341,31.2164,390.0,399.8,14.8,38.58,Eastern Mediterranean
6902872,2021-01-01T05:08:30,36.1199,20.5688,47.6,48.8,18.518,39.269,Eastern Mediterranean
6902872,2021-01-01T05:08:30,36.1199,20.5688,424.6,435.2,15.421,39.149,Eastern Mediterranean
6902872,2021-01-01T05:08:30,36.1199,20.5688,265.5,272.1,15.653,39.136,Eastern Mediterranean
6901280,2021-01-01T05:51:30,39.9338,2.264,,7.9,14.699,38.069,Western Mediterranean
6902899,2021-01-01T11:35:00,42.3766,6.4397,240.3,246.3,13.874,,Western Mediterranean
6903250,2021-01-01T11:44:00,42.1255,18.1044,239.1,245.1,14.629,38.953,Adriatic
6903250,2021-01-01T11:44:00,42.1255,18.1044,,141.0,15.004,39.001,Adriatic
6903016,2021-01-01T11:52:30,36.0448,-4.4859,162.9,167.0,14.021,38.14,Western Mediterranean
6903016,2021-01-01T11:52:30,36.0448,-4.4859,434.7,445.6,13.367,38.554,Western Mediterranean
6902846,2021-01-01T22:46:30,34.3469,27.8846,145.5,149.1,15.104,39.061,Eastern Mediterranean
6903263,2021-01-02T05:58:30,43.0045,15.1943,,65.6,15.624,38.913,Adriatic
6902902,2021-01-03T09:33:00,34.7041,30.0371,240.5,246.5,15.062,39.059,Eastern Mediterranean
6902902,2021-01-03T09:33:00,34.7041,30.0371,181.1,185.6,15.473,39.113,Eastern Mediterranean
6903227,2021-01-03T23:58:00,38.435,10.6109,26.5,27.2,15.31,38.016,Tyrrhenian
6902803,2021-01-04T02:12:30,38.4177,5.3695,487.1,499.3,13.621,,Western Mediterranean
6902804,2021-01-04T02:45:30,43.1585,6.9457,322.4,330.5,13.939,38.669,Western Mediterranean
3901890,2021-01-04T02:53:30,35.6599,21.0255,140.9,144.4,16.72,1.197,Eastern Mediterranean
6902767,2021-01-04T04:59:20,41.7669,9.638,58.6,60.1,14.61,38.327,Tyrrhenian
6903784,2021-01-04T05:41:30,37.1092,17.0004,9.3,9.5,16.882,38.539,Western Mediterranean
6903234,2021-01-04T05:48:00,34.2806,31.0769,42.4,43.5,20.155,39.195,Eastern Mediterranean
6903780,2021-01-04T05:52:20,41.6054,11.6474,26.7,27.4,14.508,38.194,Tyrrhenian
6902944,2021-01-04T05:53:30,40.3911,11.4007,149.2,152.9,14.706,38.186,Tyrrhenian
6902944,2021-01-04T05:53:30,40.3911,11.4007,142.9,146.5,14.813,38.176,Tyrrhenian
3901976,2021-01-04T05:57:20,36.8713,15.6448,212.3,217.6,,38.965,Western Mediterranean
6903019,2021-01-04T05:58:30,42.9447,9.802,219.5,225.0,14.44,37.886,Tyrrhenian
6903016,2021-01-04T11:54:30,36.0904,-4.3227,170.7,175.0,13.757,38.318,Western Mediterranean
7900563,2021-01-04T12:06:04,41.9835,5.9351,277.1,284.01,13.726,,Western Mediterranean
7900563,2021-01-04T12:06:04,41.9835,5.9351,,129.96,13.621,38.4991,Western Mediterranean
7900563,2021-01-04T12:06:04,41.9835,5.9351,208.8,213.98,13.775,38.6289,Western Mediterranean
6903065,2021-01-04T12:20:30,35.6513,-3.9172,9.5,9.7,16.15,36.58,Western Mediterranean
6902945,2021-01-04T14:44:30,37.0954,19.3812,170.5,174.8,15.596,39.109,Western Mediterranean
6902718,2021-01-04T22:50:30,33.4284,26.0221,,303.8,14.92,39.047,Eastern Mediterranean
6902913,2021-01-04T22:54:30,32.4587,24.6574,71.9,73.7,17.092,38.806,Eastern Mediterranean
6902913,2021-01-04T22:54:30,32.4587,24.6574,26.3,27.0,18.328,,Eastern Mediterranean
6902845,2021-01-04T22:59:30,33.3737,28.1141,87.7,89.9,17.756,38.705,Eastern Mediterranean
6902873,2021-01-05T05:06:30,33.3755,23.3692,123.1,126.2,16.176,39.116,Eastern Mediterranean
6902870,2021-01-05T05:22:30,35.1294,16.709,185.7,190.3,15.143,38.951,Western Mediterranean
6902902,2021-01-05T09:32:00,34.7031,30.0814,108.7,111.4,16.439,39.184,Eastern Mediterranean
6902937,2021-01-06T02:13:30,41.5496,5.6724,108.9,111.6,13.344,38.365,Western Mediterranean
6902876,2021-01-06T02:13:30,37.4623,2.8089,375.5,384.9,13.698,38.587,Western Mediterranean
6902937,2021-01-06T02:13:30,41.5496,5.6724,457.8,469.2,13.543,,Western Mediterranean
6902937,2021-01-06T02:13:30,41.5496,5.6724,232.6,238.4,13.792,38.623,Western Mediterranean
6902850,2021-01-06T02:46:30,42.6298,5.467,,317.9,13.662,38.648,Western Mediterranean
6902874,2021-01-06T05:08:30,34.5858,31.2873,289.6,296.8,15.377,,Eastern Mediterranean
6901280,2021-01-06T05:51:30,39.9342,2.3103,,128.5,13.703,38.417,Western Mediterranean
6901280,2021-01-06T05:51:30,39.9342,2.3103,232.2,238.0,13.808,,Western Mediterranean
6902944,2021-01-06T05:55:30,40.3235,11.5714,,388.6,14.444,38.784,Tyrrhenian
6903271,2021-01-06T05:58:30,42.0703,30.4822,483.5,495.6,9.014,22.055,Eastern Mediterranean
6903016,2021-01-06T11:52:30,36.0576,-4.1571,350.9,359.7,13.534,38.575,Western Mediterranean
6903016,2021-01-06T11:52:30,36.0576,-4.1571,374.0,383.3,13.516,38.578,Western Mediterranean
6903016,2021-01-06T11:52:30,36.0576,-4.1571,387.4,397.1,13.506,38.578,Western Mediterranean
7900563,2021-01-06T12:02:22,41.9436,5.9236,83.9,86.01,13.342,38.3788,Western Mediterranean
6902944,2021-01-07T06:02:30,40.2902,11.6283,338.5,347.0,,,Tyrrhenian
6903783,2021-01-07T06:11:20,43.9394,13.697,69.6,71.3,14.821,38.904,Adriatic
3901978,2021-01-07T09:58:30,34.1067,16.533,44.3,45.4,18.153,38.134,Western Mediterranean
